"('Open', 'AAPL')","('Open', 'ABT')","('Open', 'MU')","('Open', 'SO')",PortfolioValue
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,1006397.6573434236
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,992553.5539641632
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,969969.2426411116
0.33333272,0.3333335,0.3333335,3.3333316e-07,972911.6209131281
0.33333322,0.33333322,0.33333322,3.333329e-07,974590.665026024
0.33333322,0.33333322,0.33333322,3.333329e-07,948758.2804043163
0.33333322,0.33333322,0.33333322,3.333329e-07,950485.2681835839
0.33333322,0.33333322,0.33333322,3.333329e-07,924030.9663401591
0.33333322,0.33333322,0.33333322,3.333329e-07,924514.1366102339
0.33333322,0.33333322,0.33333322,3.333329e-07,889089.3799744595
0.33333322,0.33333322,0.33333322,3.333329e-07,915229.0680355823
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,895203.9596667355
0.33333322,0.33333322,0.33333322,3.333329e-07,905966.7565224882
0.33333322,0.33333322,0.33333322,3.333329e-07,922045.908248905
0.33333322,0.33333322,0.33333322,3.333329e-07,896512.9577529893
0.33333322,0.33333322,0.33333322,3.333329e-07,896226.9112474909
0.33333322,0.33333322,0.33333322,3.333329e-07,912398.8251891108
0.33333322,0.33333322,0.33333322,3.333329e-07,887859.2403176554
0.33333322,0.33333322,0.33333322,3.333329e-07,866482.438129281
0.33333322,0.33333322,0.33333322,3.333329e-07,833928.3835034079
0.33333322,0.33333322,0.33333322,3.333329e-07,879402.6916678827
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,853495.0552580985
0.33333322,0.33333322,0.33333322,3.333329e-07,886350.5603264845
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,891281.097768416
0.33276355,0.33361807,0.33361807,3.3361775e-07,914572.6522398726
0.33333316,0.33333325,0.33333325,3.3333293e-07,897903.043547139
0.33333322,0.33333322,0.33333322,3.333329e-07,894690.6610440441
0.33333322,0.33333322,0.33333322,3.333329e-07,917874.2955254309
0.3333319,0.33333385,0.33333385,3.3333353e-07,895062.5858725745
0.33333322,0.33333322,0.33333322,3.333329e-07,891380.481700879
0.33333322,0.33333322,0.33333322,3.333329e-07,866056.631067475
0.33333322,0.33333322,0.33333322,3.333329e-07,872813.7843597669
0.33333322,0.33333322,0.33333322,3.333329e-07,867434.9103723364
0.33333322,0.33333322,0.33333322,3.333329e-07,873537.657756402
0.33333322,0.33333322,0.33333322,3.333329e-07,899586.8002962037
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,898555.644970142
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,924250.9232766752
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,957704.7719780427
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,953112.3480664112
