NVDA,LLY,JPM,CAT,PortfolioValue
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1263466.5204012182
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1231532.7225135982
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1247268.3908360198
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1229913.0873396774
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1235698.0268791297
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1252127.5763477143
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1295168.5764552194
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1323631.4443567
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1337053.0929722087
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1364126.739617612
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1346771.9908077845
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1359499.4147873768
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1364127.50035057
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1372688.566115592
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1374540.4550253344
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1349780.1197768408
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1342143.609105566
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1335201.414517183
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1329416.5088398196
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1312060.8902831348
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1342143.7141831017
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1350937.5267576945
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1351400.240026963
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1351400.220925234
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1375928.8295435421
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1331962.2231992665
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1348623.5681116297
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1359730.7192022218
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1362970.153670731
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1314375.7437084592
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1303962.4618417798
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1284756.446498818
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1308590.9246516312
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1292623.5271171222
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1287763.5636274493
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1262540.9963507752
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1258838.3066810083
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1277351.4953196459
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1269714.3598674566
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1248888.303196828
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1282673.6740919836
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1145061.7513314218
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1150640.562923373
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1172258.6034396105
9.99996e-07,9.99996e-07,9.99996e-07,0.999997,1169237.0761033543
